Brand,Model,Battery Size (kWh),Segment,Powertrian,BodyStyle,Seats,0 - 62 MPH (Sec),Top Speed (MPH),Range (Mi),Efficiency (Wh/mi),Euro
Aiways,U5,63,C,FWD,SUV,5,7.5,93*,210*,300*,35993
Audi,e-tron 50 quattro,64.7,E,AWD,SUV,5,6.8,118,260,365,69100
Audi,e-tron 55 quattro,86.5,E,AWD,SUV,5,5.7,124,250,380,79445
Audi,e-tron GT quattro,85,F,AWD,Sedan,4,4.1,152,205*,325*,99800
Audi,e-tron GT RS,85,F,AWD,Sedan,4,3.3,155,175*,340*,138200
Audi,e-tron S 55 quattro,86.5,E,AWD,SUV,5,4.5,130,250*,430*,93800
Audi,e-tron S Sportback 55 quattro,86.5,E,AWD,SUV,5,4.5,130,240*,420*,96050
Audi,e-tron Sportback 50 quattro,64.7,E,AWD,SUV,5,6.8,118,240,355,71350
Audi,e-tron Sportback 55 quattro,86.5,E,AWD,SUV,5,5.7,124,180,375,99800
Audi,e-tron Sportback 55 quattro,86.5,E,AWD,SUV,5,5.7,124,265,375,83750
Audi,Q4 e-tron 35,51.5,C,RWD,SUV,5,9,99,250*,290*,41900
Audi,Q4 e-tron 40,76.6,C,RWD,SUV,5,8.5,99,295*,305*,47500
Audi,Q4 e-tron 45 quattro,76.6,C,AWD,SUV,5,6.9,112,280*,315*,50900
Audi,Q4 e-tron 50 quattro,76.6,C,AWD,SUV,5,6.2,112,215*,315*,53600
Audi,Q4 Sportback e-tron 35,51.5,C,RWD,SUV,5,9,99,315*,285*,43900
Audi,Q4 Sportback e-tron 40,76.6,C,RWD,SUV,5,8.5,99,200*,285*,49500
Audi,Q4 Sportback e-tron 50 quattro,76.6,C,AWD,SUV,5,6.2,112,250*,305*,55600
BMW,i3 120 Ah,37.9,B,RWD,Hatchback,4,7.3,93,245,260,39000
BMW,i3s 120 Ah,37.9,B,RWD,Hatchback,4,6.9,99,155,270,42600
BMW,i4 eDrive40,80.7,D,RWD,Sedan,5,5.7,118,110*,270*,58300
BMW,i4 M50,80.7,D,AWD,Sedan,5,3.9,140,155*,285*,69900
BMW,iX xDrive40,71,E,AWD,SUV,5,6.1,124,110*,330*,77300
BMW,iX xDrive50,105.2,E,AWD,SUV,5,4.6,124,155*,330*,98000
BMW,iX3,74,D,RWD,SUV,5,6.8,112,110,305,67300
Byton,M-Byte 72 kWh 2WD,72,E,RWD,SUV,5,7.5,118,170*,360*,53500
Byton,M-Byte 95 kWh 2WD,95,E,AWD,SUV,5,7.5,118,215*,380*,62000
Byton,M-Byte 95 kWh 4WD,95,E,AWD,SUV,5,5.5,118,215*,385*,64000
Citroen,e-C4,45,C,FWD,Hatchback,5,9.7,93,280*,290*,34640
Citroen,e-SpaceTourer M 50 kWh,45,M,FWD,Mini Van,9,12.1,81,105*,405*,51440
Citroen,e-SpaceTourer M 75 kWh,65,M,FWD,Mini Van,9,13.3,81,150*,415*,57440
Citroen,e-SpaceTourer XL 50 kWh,45,M,FWD,Mini Van,9,12.1,81,100*,405*,52230
Citroen,e-SpaceTourer XL 75 kWh,65,M,FWD,Mini Van,9,13.3,81,260*,415*,58230
Citroen,e-SpaceTourer XS 50 kWh,45,M,FWD,Mini Van,9,12.1,81,270*,405*,50880
CUPRA,Born 110 kW - 55 kWh,45,C,RWD,Hatchback,5,8.9,99,255*,260*,32700
CUPRA,Born 150 kW - 62 kWh,58,C,RWD,Hatchback,5,7.3,99,205*,265*,37220
CUPRA,Born 170 kW - 62 kWh,58,C,RWD,Hatchback,5,6.6,99,215*,265*,39000
CUPRA,Born 170 kW - 82 kWh,77,C,RWD,Hatchback,5,7,99,240*,275*,43000
Dacia,Spring Electric,26.8,A,FWD,Hatchback,4,15*,78,230*,255*,20490
DS 3,Crossback E-Tense,45,B,FWD,SUV,5,8.7,93,195,290,30040
Fiat,500e 3+1,37.3,B,FWD,Hatchback,4,9,93,190,240,29560
Fiat,500e Cabrio,37.3,B,FWD,Cabrio,4,9,93,155*,245*,30560
Fiat,500e Hatchback 24 kWh,23.8,B,FWD,Hatchback,4,9.5,84,245*,235*,23560
Fiat,500e Hatchback 42 kWh,37.3,B,FWD,Hatchback,4,9,93,235,240,27560
Ford,Mustang Mach-E ER AWD,88,D,AWD,SUV,5,5.8,112,140*,335*,62900
Ford,Mustang Mach-E ER RWD,88,D,RWD,SUV,5,7,112,260*,325*,54475
Ford,Mustang Mach-E GT,88,D,AWD,SUV,5,4.4,124*,255*,345,
Ford,Mustang Mach-E SR AWD,68,D,AWD,SUV,5,6.3,112,200*,330*,54000
Ford,Mustang Mach-E SR RWD,68,D,RWD,SUV,5,6.9,112,245*,315*,46900
Honda,e,28.5,B,RWD,Hatchback,4,9,90,355,270,33850
Honda,e Advance,28.5,B,RWD,Hatchback,4,8.3,90,410,270,38000
Hyundai,IONIQ 5 Long Range 2WD,72.6,C,RWD,SUV,5,7.4,115,335*,300*,45100
Hyundai,IONIQ 5 Project 45,72.6,C,AWD,SUV,5,5.2,115,330*,315*,59550
Hyundai,IONIQ 5 Standard Range 2WD,58,C,RWD,SUV,5,8.5,115,220*,295*,41900
Hyundai,IONIQ 5 Standard Range AWD,58,C,AWD,SUV,5,6.1,115,215*,305*,45700
Hyundai,IONIQ Electric,38.3,C,FWD,Liftback,5,9.7,103,215,245,35350
Hyundai,Kona Electric 39 kWh,39.2,B,FWD,SUV,5,9.9,96,210,250,34850
Hyundai,Kona Electric 39 kWh,39.2,B,FWD,SUV,5,9.9,96,330*,250*,35650
Hyundai,Kona Electric 64 kWh,64,B,FWD,SUV,5,7.9,104,395,260,41850
Hyundai,Kona Electric 64 kWh,64,B,FWD,SUV,5,7.9,104,350*,260*,41850
Hyundai ,IONIQ 5 Long Range AWD,72.6,C,AWD,SUV,5,5.2,115,380*,305*,48900
JAC,iEV7s,39,B,FWD,,5,12,82*,210*,275,
Jaguar,I-Pace EV400,84.7,E,AWD,SUV,5,4.8,124,210,360,77300
Kia,e-Niro 39 kWh,39.2,C,FWD,SUV,5,9.8,96,205,270,35290
Kia,e-Niro 64 kWh,64,C,FWD,SUV,5,7.8,104,205,275,39090
Kia,e-Soul 39 kWh,39.2,B,FWD,SUV,5,9.9,98,275,280,33990
Kia,e-Soul 64 kWh,64,B,FWD,SUV,5,7.9,104,200,280,37790
Kia,EV6 Long Range 2WD,77.4,C,RWD,SUV,5,7.5,115,260*,295*,48990
Kia,EV6 Long Range AWD,77.4,C,AWD,SUV,5,5.4,115,235*,300*,52850
Kia,EV6 Standard Range 2WD,58,C,RWD,SUV,5,8.5,115,170*,290*,44990
Kia ,EV6 GT,77.4,C,AWD,SUV,5,3.5,162,155*,315*,65990
Lexus,UX 300e,50,C,FWD,SUV,5,7.5,99,110,310,47550
Lightyear,One,60,F,AWD,Liftback,5,10,93*,155*,165*,149000
Lucid Air,Grand Touring,110,F,AWD,Sedan,5,3.2*,168,110*,265*,140000
Lucid Air,Pure,85,F,RWD,Sedan,5,4.2*,124,155*,250*,80000
Lucid Air,Touring,85,F,AWD,Sedan,5,3.4*,155,110*,255*,95000
Mazda,MX-30,30,C,FWD,SUV,5,9.7,87,170,285,34490
Mercedes,EQA 250,66.5,C,FWD,SUV,5,8.9,99,120*,300*,47541
Mercedes,EQA 300 4MATIC,66.5,C,AWD,SUV,5,7.7,99,120*,305*,53538
Mercedes,EQA 350 4MATIC,66.5,C,AWD,SUV,5,6,99,110*,305*,56216
Mercedes,EQB 350 4MATIC,66.5,C,AWD,SUV,7,6.2,99,110*,315*,60000
Mercedes,EQC 400 4MATIC,80,D,AWD,SUV,5,5.1,112,160,345,66069
Mercedes,EQE 350,90,E,RWD,Sedan,5,6*,99*,110*,270*,70000
Mercedes,EQS 450+,107.8,F,RWD,Sedan,5,6.2,130,160*,270*,106374
Mercedes,EQS AMG 53 4MATIC+,107.8,F,AWD,Sedan,5,3.4,155,250*,305*,175000
Mercedes,EQV 300 Extra-Long,90,M,FWD,Mini Van,7,12.1*,99,250,460,72281
Mercedes,EQV 300 Long,90,M,FWD,Mini Van,7,12.1,99,240,450,71388
Mercedes ,EQS 580 4MATIC,107.8,F,AWD,Sedan,5,4.3,130,235*,280*,135529
MG,Marvel R,65,C,RWD,SUV,5,7.9,124,150*,305*,42990
MG,MG5 Electric,57,C,RWD,SUV,5,8.3,112*,220*,270*,30000
MG,MG5 EV,48.8,C,FWD,,5,7.7,115,80,270,
MG,MG5 EV Long Range,57,C,FWD,,5,7.7,115,165,270,
MG,ZS EV,42.5,B,FWD,SUV,5,8.2,87,180,310,31990
MG ,Marvel R Performance,65,C,AWD,SUV,5,4.9,124,205*,315*,50990
Mini,Cooper SE,28.9,B,FWD,Hatchback,4,7.3,93,245,250,32500
Nissan,Ariya 63kWh,63,C,FWD,SUV,5,7.5,99,260*,305*,45000
Nissan,Ariya 87kWh,87,C,FWD,SUV,5,7.6,99,160*,315*,50000
Nissan,Ariya e-4ORCE 63kWh,63,C,AWD,SUV,5,5.9,124,285*,315*,50000
Nissan,Ariya e-4ORCE 87kWh,87,C,AWD,SUV,5,5.7,124,240*,330*,57500
Nissan,Ariya e-4ORCE 87kWh Performance,87,C,AWD,SUV,5,5.1,124,465*,370*,65000
Nissan,e-NV200 Evalia,37,M,FWD,Mini Van,7,14,76,345,350,43433
Nissan,Leaf,37,C,FWD,Hatchback,5,7.9,89,330,260,29990
Nissan,Leaf e+,56,C,FWD,Hatchback,5,7.3,98,295,280,38350
Opel,Ampera-e,58,B,FWD,MPV,5,7.3,93,280,275,42990
Opel,Corsa-e,45,B,FWD,Hatchback,5,8.1,93,265*,260*,29000
Opel,Mokka-e,45,B,FWD,SUV,5,8.5*,93,600*,290*,34110
Opel,Zafira-e Life L 50 kWh,45,M,FWD,Mini Van,9,12.1,81,155*,405*,54625
Opel,Zafira-e Life L 75 kWh,65,M,FWD,Mini Van,9,13.3,81,155*,415*,60625
Opel,Zafira-e Life M 50 kWh,45,M,FWD,Mini Van,9,12.1,81,210*,405*,53800
Opel,Zafira-e Life M 75 kWh,65,M,FWD,Mini Van,9,13.3,81,195*,415*,59800
Opel,Zafira-e Life S 50 kWh,45,M,FWD,Mini Van,9,12.1,81,110,405*,56700
Peugeot,e-2008 SUV,45,B,FWD,SUV,5,8.5,93,155,290,35450
Peugeot,e-208,45,B,FWD,Hatchback,5,8.1,93,170,260*,30450
Peugeot,e-Rifter Long 50 kWh,45,M,FWD,Mini Van,7,11.7,84,120,375*,42590
Peugeot,e-Rifter Standard 50 kWh,45,M,FWD,Mini Van,7,11.7,84,120,375*,37590
Peugeot,e-Traveller Compact 50 kWh,45,M,FWD,Mini Van,9,12.1,81,110,405*,50880
Peugeot,e-Traveller Long 50 kWh,45,M,FWD,Mini Van,8,13.1,81,110,405*,56690
Peugeot,e-Traveller Long 75 kWh,68,M,FWD,Mini Van,9,13.3,81,160,425*,58230
Peugeot,e-Traveller Standard 50 kWh,45,M,FWD,Mini Van,8,13.1,81,110,405*,55900
Peugeot,e-Traveller Standard 75 kWh,68,M,FWD,Mini Van,9,13.3,81,160,425*,57440
Polestar,2 Long Range Dual Motor,75,D,AWD,Sedan,5,4.7,127,245,305,52500
Polestar,2 Long Range Single Motor,75,D,FWD,Sedan,5,7.4,99,265,280,49500
Polestar,2 Standard Range Single Motor,61,D,FWD,Sedan,5,7.4,99,215,280,46500
Porsche,Taycan,71,F,RWD,Sedan,4,5.4,143,245,285,83520
Porsche,Taycan 4,71,F,AWD,Sedan,4,4,155,230,305,106487
Porsche,Taycan 4 Cross Turismo,83.7,F,AWD,Sedan,4,5.1,137,250,330*,93635
Porsche,Taycan 4S Cross Turismo,83.7,F,AWD,Sedan,4,4.1,149,250,330*,111842
Porsche,Taycan 4S Plus,83.7,F,AWD,Sedan,4,4,155,270,310,113008
Porsche,Taycan Plus,83.7,F,RWD,Sedan,4,5.4,143,285,290,89244
Porsche,Taycan Turbo,83.7,F,AWD,Sedan,4,3.2,162,245,340,153016
Porsche,Taycan Turbo Cross Turismo,83.7,F,AWD,Sedan,4,3.3,155,240,345*,154444
Porsche,Taycan Turbo S,83.7,F,AWD,Sedan,4,2.8,162,245,340,186336
Porsche,Taycan Turbo S Cross Turismo,83.7,F,AWD,Sedan,4,2.9,155,235,355*,187746
Renault,Kangoo Maxi ZE 33,31,M,FWD,Mini Van,5,22.4,81,100,310,38000
Renault,Megane E-Tech EV40 130hp,40,C,FWD,SUV,5,10*,99*,150,265*,35000
Renault,Megane E-Tech EV60 220hp,60,C,FWD,SUV,5,7.4,99,220,270*,40000
Renault,Twingo Electric,21.3,A,RWD,Hatchback,4,12.6,84,80,265*,24790
Renault,Zoe ZE40 R110,41,B,FWD,Hatchback,5,11.4,84,155,260,29990
Renault,Zoe ZE50 R110,52,B,FWD,Hatchback,5,11.4,84,195,265,31990
Renault,Zoe ZE50 R135,52,B,FWD,Hatchback,5,9.5,87,190,270,33990
SEAT,Mii Electric,32.3,A,FWD,Hatchback,4,12.3,81,130,245,24650
Seres,3,52,C,FR,,5,8.9,96*,165,315,
Skoda,Enyaq iV 50,52,C,RWD,SUV,5,11.3,99,180,285*,33800
Skoda,Enyaq iV 60,58,C,RWD,SUV,5,8.7,99,205,280*,38850
Skoda,Enyaq iV RS,77,C,AWD,SUV,5,6.2,112,245,310*,50000
Skoda,Enyaq iV Sportline 80x,77,C,AWD,SUV,5,6.9,99,250,305,47000
Skoda ,Enyaq iV 80,77,C,RWD,SUV,5,8.6,99,260,295*,43950
Smart,EQ forfour,16.7,A,RWD,Hatchback,4,12.7,81,55,300,19120
Smart,EQ fortwo cabrio,16.7,A,RWD,Cabrio,2,11.9,81,60,275,21720
Smart,EQ fortwo coupe,16.7,A,RWD,Hatchback,2,11.6,81,60,275,18460
Sono,Sion,47,C,FWD,Hatchback,5,9*,87*,160,290*,25500
Tesla,Cybertruck Dual Motor,120,M,AWD,Pickup,6,5*,118*,285,420*,55000
Tesla,Cybertruck Single Motor,100,M,RWD,Pickup,6,7*,112*,240,415*,45000
Tesla,Cybertruck Tri Motor,200,M,AWD,Pickup,6,3*,130*,465,430*,75000
Tesla,Model 3 Long Range Dual Motor,76,D,AWD,Sedan,5,4.4,145,305,245,53560
Tesla,Model 3 Performance,76,D,AWD,Sedan,5,3.3,162,290,260,58560
Tesla,Model 3 Standard Range Plus,51,D,RWD,Sedan,5,5.6,140,215,235,43560
Tesla,Model 3 Standard Range Plus LFP,52.5,D,RWD,Sedan,5,5.6,140,215,240,43560
Tesla,Model S Long Range,90,F,AWD,Liftback,5,3.2,155,345,260*,86990
Tesla,Model S Plaid,90,F,AWD,Liftback,5,2.1,200,330,270*,126990
Tesla,Model X Long Range,90,F,AWD,SUV,7,3.9,155,295,305*,95990
Tesla,Model X Plaid,90,F,AWD,SUV,7,2.6,163,280,320*,116990
Tesla,Model Y Performance,76,D,AWD,SUV,7,3.7,150,265,285*,66965
Tesla,Roadster ,200,S,AWD,Cabrio,4,2.1,255*,600,330*,215000
Tesla ,Model Y Long Range Dual Motor,70,D,AWD,SUV,7,5,135,255,270,59965
Toyota,PROACE Verso L 50 kWh,45,M,FWD,Mini Van,8,12.1*,81,110,405,59385
Toyota,PROACE Verso L 75 kWh,65,M,FWD,Mini Van,8,13.1,81,155,415*,65385
Toyota,PROACE Verso M 50 kWh,45,M,FWD,Mini Van,8,12.1*,81,110,405,58530
Toyota,PROACE Verso M 75 kWh,65,M,FWD,Mini Van,8,13.1,81,155,415*,64530
Volkswagen,e-Up!,32.3,A,FWD,Hatchback,4,11.9,81,125,255,21421
Volkswagen,ID.3 Pro,58,C,RWD,Hatchback,5,9.6,99,215,265,35460
Volkswagen,ID.3 Pro Performance,58,C,RWD,Hatchback,5,7.3,99,215,265,36960
Volkswagen,ID.3 Pro S - 4 Seats,77,C,RWD,Hatchback,4,7.9,99,280,275,42460
Volkswagen,ID.3 Pro S - 5 Seats,77,C,RWD,Hatchback,5,7.9,99,280,275,42620
Volkswagen,ID.3 Pure Performance,45,C,RWD,Hatchback,5,8.9,99,170,260,35575
Volkswagen,ID.4 1st,77,C,RWD,SUV,5,8.5,99,255,300,
Volkswagen,ID.4 GTX,77,C,AWD,SUV,5,6.2,112,245,310,50415
Volkswagen,ID.4 Pro Performance,77,C,RWD,SUV,5,8.5,99,255,300,44450
Volkswagen,ID.4 Pure,52,C,RWD,SUV,5,10.9,99,175,295,36950
Volkswagen,ID.4 Pure Performance,52,C,RWD,SUV,5,9,99,175,295,38450
Volvo,C40 Recharge,75,C,AWD,SUV,5,4.7,112,210,355*,62050
Volvo,XC40 Recharge Pure Electric,67,C,FWD,SUV,5,7.4,99*,195,340,48650
Volvo,XC40 Recharge Twin Pure Electric,76,C,AWD,SUV,5,4.9,112,210,355,59250